OBSTACLE_IDENTIFIER;HORISONTAL_ACCURACY;HORISONTAL_ACCURACY_UOM;LATITUDE;LONGITUDE;LATITUDE_DD;LONGITUDE_DD;HORISONTAL_RESOLUTION;HORISONTAL_RESOLUTION_UOM;HORISONTAL_EXTENT;ELEVATION;ELEVATION_UOM;HEIGHT;HEIGHT_UOM;VERTICAL_ACCURACY;VERTICAL_ACCURACY_UOM;VERTICAL_EXTENT_ACC;VERTICAL_EXTENT_ACC_UOM;VERTICAL_RESOLUTION;VERTICAL_RESOLUTION_UOM;OBSTACLE_TYPE;GEOMETRY_TYPE;INTEGRITY;DATESTAMP;LIGHTING;LIGHTING_CHARACTER;MARKING;STATUS;REMARKS;AD_AIRPORT_PK 
ESSV1673;;OTHER;573947.9N;0182000.5E;57.66331;18.33347;;;;190;FT;49;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV457;;OTHER;574030.7N;0182052.5E;57.67519;18.34793;;;;216;FT;81;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
VISBY/YGNE-3897;10;M;573507.7N;0181101.2E;57.58547;18.18366;0.3;Seconds;;609;FT;463;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;20250121;Y;FR;;COMPLETED;;179
ESSV2033;;OTHER;573901.3N;0181859.3E;57.65036;18.31649;;;;183;FT;38;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV808;;OTHER;573900.8N;0181858.8E;57.65022;18.31634;;;;186;FT;42;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1986;;OTHER;573902.1N;0181855.3E;57.6506;18.31535;;;;178;FT;36;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1007;;OTHER;573842.7N;0182014.0E;57.6452;18.33722;;;;208;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV54;;OTHER;573842.4N;0181947.7E;57.64511;18.32991;;;;188;FT;34;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1008;;OTHER;573842.7N;0182014.3E;57.64519;18.33731;;;;209;FT;48;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV56;;OTHER;573842.3N;0181948.2E;57.6451;18.33007;;;;188;FT;34;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV892;;OTHER;573825.2N;0181947.5E;57.64034;18.32985;;;;220;FT;44;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV11;;OTHER;573829.2N;0181944.9E;57.64146;18.32913;;;;239;FT;74;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
SÖDERGRAVAR-118078;10;M;573756.6N;0181744.0E;57.6324;18.29555;0.3;Seconds;;295;FT;157;FT;5;M;5;M;1;M;TOWER;POINT;ROUTINE;;UNKNOWN;unknown;;COMPLETED;;179
ESSV1970;;OTHER;573912.4N;0181909.1E;57.65345;18.31919;;;;174;FT;34;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2070;;OTHER;573907.8N;0181936.9E;57.65217;18.32691;;;;152;FT;11;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1974;;OTHER;573910.1N;0181909.0E;57.65281;18.31916;;;;189;FT;46;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2038;;OTHER;573908.1N;0181919.3E;57.65225;18.32203;;;;166;FT;22;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2026;;OTHER;573901.8N;0181922.1E;57.6505;18.3228;;;;167;FT;21;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV864;;OTHER;573904.7N;0181901.8E;57.65132;18.31717;;;;177;FT;34;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1988;;OTHER;573903.5N;0181912.0E;57.65098;18.32;;;;176;FT;36;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV151;;OTHER;573533.8N;0182222.8E;57.59271;18.37299;;;;1103;FT;845;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1404;;OTHER;573858.8N;0182102.7E;57.64968;18.35075;;;;183;FT;14;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1373;;OTHER;573854.0N;0182106.2E;57.64834;18.35174;;;;196;FT;24;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1380;;OTHER;573851.4N;0182104.5E;57.6476;18.35125;;;;192;FT;20;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1403;;OTHER;573858.1N;0182102.5E;57.64947;18.35069;;;;182;FT;12;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1351;;OTHER;573858.7N;0182112.0E;57.64963;18.35333;;;;199;FT;30;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1383;;OTHER;573853.6N;0182101.9E;57.64822;18.35052;;;;187;FT;15;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1390;;OTHER;573856.1N;0182113.6E;57.6489;18.35377;;;;193;FT;25;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1391;;OTHER;573856.0N;0182106.5E;57.64889;18.35181;;;;184;FT;14;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV191;;OTHER;573852.1N;0182058.6E;57.64779;18.3496;;;;188;FT;15;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1213;;OTHER;573851.7N;0182102.2E;57.64769;18.35062;;;;196;FT;24;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1427;;OTHER;573854.0N;0182101.6E;57.64832;18.35045;;;;182;FT;10;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1368;;OTHER;573848.4N;0182209.0E;57.64677;18.36917;;;;252;FT;84;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV521;;OTHER;574005.2N;0182107.7E;57.66812;18.35213;;;;184;FT;50;FT;;OTHER;;OTHER;;;NAVAID;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV624;;OTHER;573809.4N;0182001.4E;57.63595;18.33372;;;;238;FT;67;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV626;;OTHER;573816.5N;0182004.2E;57.63791;18.33451;;;;235;FT;68;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV18;;OTHER;573816.8N;0182007.6E;57.63801;18.33543;;;;249;FT;81;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
